,Counts
ENSR00000094394,1
ENSR00000026082,1
ENSR00000057216,1
ENSR00000258722,1
ENSR00000043149,1
ENSR00000079431,1
ENSR00000129352,1
ENSR00000211706,1
ENSR00000047484,1
ENSR00000043150,1
ENSR00000084375,1
ENSR00000011940,1
7:43612394-43618394,1
20:52073511-52079511,1
6:13297186-13303186,1
ENSR00000334367,1
ENSR00000014716,1
ENSR00000253851,1
ENSR00000265454,1
ENSR00000149479,1
ENSR00000301957,1
4:17479163-17485163,1
ENSR00000031041,1
ENSR00000142648,1
ENSR00000017505,1
2:159238398-159244398,1
ENSR00000155787,1
ENSR00000305257,1
ENSR00000240266,1
ENSR00000300734,1
ENSR00000243144,1
ENSR00000240267,1
ENSR00000130992,1
ENSR00000191818,1
ENSR00000319047,1
ENSR00000240268,1
21:46580904-46586904,1
ENSR00000240269,1
ENSR00000337480,1
ENSR00000216845,1
ENSR00000187000,1
ENSR00000148474,1
ENSR00000218550,1
ENSR00000167396,1
ENSR00000218551,1
ENSR00000021137,1
12:22326820-22332820,1
22:38017128-38023128,1
ENSR00000011926,1
1:116485310-116491310,1
ENSR00000062625,1
ENSR00000074634,1
ENSR00000206092,1
ENSR00000257014,1
ENSR00000119678,1
ENSR00000300474,1
ENSR00000329983,1
ENSR00000060540,1
